;代码	座标x	座标y	怪物名称		范围	数量	时间(m)	集中刷新坐标机率	名字颜色(0~255)
;---------------------新手地图	1							
xj1	68	67	僵尸1	100	10	1	0	255	
xj1	38	67	僵尸2	100	10	1	0	255	
xj1	38	37	僵尸3	100	10	1	0	255	
xj1	68	37	僵尸4	100	10	1	0	255	
xj1	85	19	僵尸5	100	10	1	0	255	
xj1	19	19	僵尸6	100	20	5	0	255	
xj1	68	67	僵尸1	100	10	1	0	255	
xj1	38	67	僵尸2	100	10	1	0	255	
xj1	38	37	僵尸3	100	10	1	0	255	
xj1	68	37	僵尸4	100	10	1	0	255	
xj1	85	19	僵尸5	100	10	1	0	255	
xj1	19	19	僵尸6	100	20	5	0	255	
xj1	19	19	僵尸6	100	20	5	0	255	
xj1	68	67	僵尸1	100	10	1	0	255	
xj1	38	67	僵尸2	100	10	1	0	255	
xj1	38	37	僵尸3	100	10	1	0	255	
xj1	68	37	僵尸4	100	10	1	0	255	
xj1	85	19	僵尸5	100	10	1	0	255	
xj1	19	19	僵尸6	100	20	5	0	255	
xj1	19	19	僵尸6	100	20	5	0	255	
xj1	19	19	僵尸6	100	20	5	0	255	
xj1	68	67	僵尸1	100	10	1	0	255	
xj1	38	67	僵尸2	100	10	1	0	255	
xj1	38	37	僵尸3	100	10	1	0	255	
xj1	68	37	僵尸4	100	10	1	0	255	
xj1	85	19	僵尸5	100	10	1	0	255	
xj1	19	19	僵尸6	100	20	5	0	255
xj1	38	67	恶灵战将→白银BOSS	200	2	30	0	249										

;---------------------新手地图	2									
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;									
OBJ34	63	85	骷髅刀兵	100	20	2	0	255	
OBJ34	63	85	掷斧骷髅	100	20	2	0	255	
OBJ34	63	85	骷髅弓手	100	20	2	0	255	
OBJ34	63	85	骷髅矛兵	100	20	2	0	255	
OBJ34	63	85	骷髅刀兵	100	20	2	0	255	
OBJ34	63	85	掷斧骷髅	100	20	2	0	255	
OBJ34	63	85	骷髅弓手	100	20	2	0	255	
OBJ34	63	85	骷髅矛兵	100	20	2	0	255	
OBJ34	63	85	骷髅统领	100	20	2	0	255	
OBJ34	63	85	骷髅刀兵	100	20	2	0	255	
OBJ34	63	85	掷斧骷髅	100	20	2	0	255	
OBJ34	63	85	骷髅弓手	100	20	2	0	255	
OBJ34	63	85	骷髅刀兵	100	20	2	0	255	
OBJ34	63	85	掷斧骷髅	100	20	2	0	255	
OBJ34	63	85	骷髅弓手	100	20	2	0	255	
OBJ34	63	85	骷髅矛兵	100	20	2	0	255	
OBJ34	63	85	骷髅统领	100	20	2	0	255	
OBJ34	63	85	骷髅刀兵	100	20	2	0	255	
OBJ34	63	85	掷斧骷髅	100	20	2	0	255	
OBJ34	63	85	骷髅弓手	100	20	2	0	255
OBJ34	63	85	骷髅矛兵	100	20	2	0	255	
OBJ34	63	85	骷髅刀兵	100	20	2	0	255	
OBJ34	63	85	掷斧骷髅	100	20	2	0	255	
OBJ34	63	85	骷髅弓手	100	20	2	0	255	
OBJ34	63	85	骷髅矛兵	100	20	2	0	255	
OBJ34	63	85	骷髅统领	100	20	2	0	255	
OBJ34	25	32	骷髅领主→白银BOSS	200	2	30	0	249
									
;---------------------新手地图	3				
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;									
ygfx3	61	82	跳跳蜂	100	15	3	0	255	
ygfx3	61	82	蜈蚣	100	15	3	0	255	
ygfx3	61	82	蠕虫	100	15	3	0	255	
ygfx3	61	82	钳虫	100	15	3	0	255	
ygfx3	61	82	粪虫	100	15	2	0	255	
ygfx3	61	82	跳跳蜂	100	15	2	0	255	
ygfx3	61	82	蜈蚣	100	15	2	0	255	
ygfx3	61	82	钳虫	100	15	2	0	255	
ygfx3	61	82	粪虫	100	15	2	0	255	
ygfx3	61	82	跳跳蜂	100	15	2	0	255	
ygfx3	61	82	蜈蚣	100	15	2	0	255	
ygfx3	61	82	蠕虫	100	15	2	0	255	
ygfx3	61	82	钳虫	100	15	2	0	255	
ygfx3	61	82	粪虫	100	15	2	0	255	
ygfx3	61	82	跳跳蜂	100	15	2	0	255	
ygfx3	61	82	蜈蚣	100	15	2	0	255	
ygfx3	61	82	蠕虫	100	15	2	0	255	
ygfx3	61	82	蠕虫	100	15	2	0	255	
