;状态 机率 颜色 怪物名称 文字内容
2 0 3 飞翔的蛋超人 主人，我被怪物打死了！我姐妹更加强大！请升级吧！
2 0 3 破壳的皱蛋超人★ 主人，我被怪物打死了！我姐妹更加强大！请升级吧！
2 0 3 小学生蛋超人★★ 主人，我被怪物打死了！我姐妹更加强大！请升级吧！
2 0 3 爱运动的蛋超人★★★ 主人，我被怪物打死了！我姐妹更加强大！请升级吧！
2 0 3 双枪蛋超人★ 主人，我被怪物打死了！我姐妹更加强大！请升级吧！
2 0 3 神算子蛋超人★★ 主人，我被怪物打死了！我姐妹更加强大！请升级吧！
2 0 3 神算子蛋超人★★★ 主人，我被怪物打死了！我姐妹更加强大！请升级吧！
2 0 3 魔术师蛋超人★ 主人，我被怪物打死了！我姐妹更加强大！请升级吧！
2 0 3 魔术师蛋超人★★ 主人，我被怪物打死了！我姐妹更加强大！请升级吧！
2 0 3 魔术师蛋超人★★★ 主人，我被怪物打死了！我姐妹更加强大！请升级吧！
2 0 3 忍者蛋超人★ 主人，我被怪物打死了！我姐妹更加强大！请升级吧！
2 0 3 忍者蛋超人★★ 主人，我被怪物打死了！我姐妹更加强大！请升级吧！
2 0 3 忍者蛋超人★★★ 主人，我被怪物打死了！我姐妹更加强大！请升级吧！
2 0 3 冯程程蛋超人★ 你现在已经不需要我了！强烈建议合体后，直接去打怪！
2 0 3 冯程程蛋超人★★ 你现在已经不需要我了！强烈建议合体后，直接去打怪！
2 0 3 终极暗影蛋超人★★★ 你现在已经不需要我了！强烈建议合体后，直接去打怪！
