;怪物名	忽视防御(0~100)	增加伤害(0~255)	伤害反弹(0~100)	物伤减少(0~100)	魔伤减少(0~100)	麻痹-几率-时间(0~1	0~10	0~10)	防麻痹(0~1)	防全毒(0~1)	防火墙(0~1)	防诱惑(0~1)	破复活(0~1)	破护身(0~1)
掷斧骷髅	0	0	0	0	0	0	0	0	0	0	1	0	0	0
钳虫	0	0	0	0	0	0	0	0	0	0	1	0	0	0
蝎蛇	0	0	0	0	0	0	0	0	0	0	1	0	0	0
沃玛枪兵	0	0	0	0	0	0	0	0	0	0	1	0	0	0
祖玛弓箭手	0	0	0	0	0	0	0	0	0	0	1	0	0	0
牛魔法师	0	0	0	0	0	0	0	0	0	0	1	0	0	0
花吻蜘蛛	0	0	0	0	0	0	0	0	0	0	1	0	0	0
魔龙弓箭手	0	0	0	0	0	0	0	0	0	0	1	0	0	0
龙渊弓箭手	0	0	0	0	0	0	0	0	0	0	1	0	0	0
雷炎守卫	0	0	0	0	0	0	0	0	0	0	1	0	0	0
雪域将领	0	0	0	0	0	0	0	0	0	0	1	0	0	0
镇天弓手	0	0	0	0	0	0	0	0	0	0	1	0	0	0
失落巫医	0	0	0	0	0	0	0	0	0	0	1	0	0	0
鱼妖	0	0	0	0	0	0	0	0	0	0	1	0	0	0
石原恶灵	0	0	0	0	0	0	0	0	0	0	1	0	0	0
魔窟刀客	0	0	0	0	0	0	0	0	0	0	1	0	0	0
玛雅施法者	0	0	0	0	0	0	0	0	0	0	1	0	0	0
诺玛飞龙	0	0	0	0	0	0	0	0	0	0	1	0	0	0

